label	name
1	CharlesDeGaulle_5_0.png
1	CharlesDeGaulle_9_0.png
1	CharlesDeGaulle_2_0.png
1	CharlesDeGaulle_1_0.png
1	CharlesDeGaulle_8_0.png
1	CharlesDeGaulle_7_0.png
1	CharlesDeGaulle_3_0.png
1	CharlesDeGaulle_4_0.png
1	CharlesDeGaulle_6_0.png
2	JeanPaulBelmondo_4_0.png
2	JeanPaulBelmondo_7_0.png
2	JeanPaulBelmondo_1_1.png
2	JeanPaulBelmondo_3_0.png
2	JeanPaulBelmondo_8_0.png
2	JeanPaulBelmondo_6_0.png
2	JeanPaulBelmondo_2_1.png
3	BrigitteBardot_2_0.png
3	BrigitteBardot_20_0.png
3	BrigitteBardot_10_1.png
3	BrigitteBardot_12_1.png
3	BrigitteBardot_6_3.png
3	BrigitteBardot_21_0.png
3	BrigitteBardot_16_0.png
3	BrigitteBardot_15_7.png
3	BrigitteBardot_5_5.png
3	BrigitteBardot_14_1.png
3	BrigitteBardot_17_0.png
3	BrigitteBardot_11_0.png
3	BrigitteBardot_13_0.png
3	BrigitteBardot_7_1.png
3	BrigitteBardot_3_2.png
3	BrigitteBardot_18_0.png
3	BrigitteBardot_9_1.png
3	BrigitteBardot_4_3.png
3	BrigitteBardot_8_1.png
3	BrigitteBardot_1_0.png
3	BrigitteBardot_19_0.png
4	ElisabethReine_2_0.png
4	ElisabethReine_4_0.png
4	ElisabethReine_5_0.png
4	ElisabethReine_1_1.png
4	ElisabethReine_6_0.png
4	ElisabethReine_3_0.png
